locationId,odsCode,name,region,localAuthority,postalCode,onspdIcbCode,onspdIcbName,registrationStatus,overallRating,overallReportDate,safeRating,effectiveRating,caringRating,responsiveRating,well-ledRating
1-543954572,A89007,Pallion Family Practice,North East,Sunderland,SR4 7XF,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2017-12-21,Good,Good,Good,Good,Good
1-543956685,G83013,Blackheath Standard PMS,London,Greenwich,SE3 7HB,E54000030,NHS South East London Integrated Care Board,Registered,Good,2016-09-29,Good,Good,Good,Good,Good
1-543958039,F82014,Dr B. Saheecha and Dr N. Saheecha,London,Havering,RM3 9SU,E54000029,NHS North East London Integrated Care Board,Registered,,,,,,,
1-543958848,K81657,Evergreen Practice,South East,Bracknell Forest,RG12 1LH,E54000070,NHS Thames Valley Integrated Care Board,Registered,,,,,,,
1-543960341,K83021,Rothwell and Desborough Healthcare Group,East Midlands,North Northamptonshire,NN14 6JQ,E54000059,NHS Northamptonshire Integrated Care Board,Registered,,,,,,,
1-543961726,J82055,Craneswater Group Practice,South East,Portsmouth,PO5 2PW,E54000067,NHS Hampshire and Isle of Wight Integrated Care Board,Registered,Good,2017-03-30,Good,Good,Good,Good,Good
1-543965384,G85057,Ashdown Medical Group,London,Lewisham,BR1 5EP,E54000030,NHS South East London Integrated Care Board,Registered,Requires improvement,2022-11-24,Requires improvement,Requires improvement,Good,Good,Requires improvement
1-543965910,A81040,Marsh House Medical Centre,North East,Stockton-on-Tees,TS23 2DG,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2016-03-30,Good,Good,Good,Good,Good
1-543972292,A89023,Houghton Medical Group,North East,Sunderland,DH4 4DN,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2016-02-25,Good,Good,Good,Good,Good
1-543975260,F83660,Highbury Grange Medical Practice,London,Islington,N5 2QB,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2020-05-01,Good,Good,Good,Good,Good
1-543976260,M85011,The Swan Medical Centre,West Midlands,Birmingham,B25 8AA,E54000055,NHS Birmingham and Solihull Integrated Care Board,Registered,Good,2018-03-05,Good,Good,Good,Good,Good
1-543979526,J81061,Penny's Hill Practice,South West,Dorset,BH22 9HB,E54000041,NHS Dorset Integrated Care Board,Registered,Good,2017-03-13,Good,Good,Good,Good,Good
1-543984879,P84035,Bodey Medical Centre,North West,Manchester,M14 6WP,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2016-04-14,Good,Good,Good,Good,Good
1-543986161,N85057,Teehey Lane Medical Centre - Dr. M Salahuddin,North West,Wirral,CH63 2JN,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,Good,2017-06-13,Good,Good,Good,Good,Good
1-543988133,P81103,North Preston Medical Practice,North West,Lancashire,PR2 9TH,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,Good,2018-10-30,Good,Good,Good,Good,Good
1-543998101,K84051,White Horse Medical Practice,South East,Oxfordshire,SN7 7YU,E54000070,NHS Thames Valley Integrated Care Board,Registered,Good,2016-04-01,Good,Good,Good,Good,Good
1-544000311,H82038,Flansham Park Health Centre,South East,West Sussex,PO22 6DH,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2016-12-14,Good,Good,Good,Good,Good
1-544006538,C84001,Larwood Surgery,East Midlands,Nottinghamshire,S81 0HH,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Registered,Outstanding,2016-10-05,Outstanding,Outstanding,Good,Outstanding,Outstanding
1-544007437,B87025,Castleford Medical Practice,Yorkshire & Humberside,Wakefield,WF10 1DP,E54000054,NHS West Yorkshire Integrated Care Board,Registered,Good,2018-05-18,Good,Good,Good,Good,Good
1-544009443,J82163,Oaks Healthcare,South East,Hampshire,PO8 8DL,E54000067,NHS Hampshire and Isle of Wight Integrated Care Board,Registered,Good,2022-02-08,Good,Good,Good,Good,Good
1-544017177,L81069,St Michael's Surgery,South West,Bath and North East Somerset,BA2 1ER,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Registered,Good,2016-06-06,Good,Good,Good,Outstanding,Good
1-544018179,D82063,Watton Medical Practice,East,Norfolk,IP25 6FA,E54000068,NHS Norfolk and Suffolk Integrated Care Board,Registered,Good,2018-04-16,Good,Good,Good,Good,Good
1-544024579,C87002,Dinnington Group Practice,Yorkshire & Humberside,Rotherham,S25 4DB,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Good,2018-01-16,Good,Good,Good,Good,Good
1-544028727,P84056,Princess Road Surgery,North West,Manchester,M20 1BH,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2017-11-17,Good,Good,Good,Good,Good
1-544028786,A86013,Denton Park Medical Group,North East,Newcastle upon Tyne,NE5 2QW,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2018-03-22,Good,Good,Good,Outstanding,Good
1-544034073,C86038,Petersgate Medical Centre,Yorkshire & Humberside,Doncaster,DN5 9PQ,E54000061,NHS South Yorkshire Integrated Care Board,Registered,,,,,,,
1-544036834,C82012,Ibstock House Surgery,East Midlands,Leicestershire,LE67 6JP,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Registered,Good,2017-07-13,Good,Good,Good,Good,Good
1-544048773,K82016,Newport Pagnell Medical Centre,South East,Milton Keynes,MK16 8QT,E54000065,NHS Central East Integrated Care Board,Registered,,,,,,,
1-544056250,M84026,Southam Surgery,West Midlands,Warwickshire,CV47 1NY,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Registered,Good,2016-04-27,Good,Good,Good,Good,Good
1-544062266,A86018,The Grove Medical Group,North East,Newcastle upon Tyne,NE3 1NU,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2015-05-14,Good,Good,Good,Good,Good
1-544066113,L83035,Litchdon Medical Centre,South West,Devon,EX32 9LL,E54000037,NHS Devon Integrated Care Board,Registered,Outstanding,2019-12-18,Good,Good,Good,Outstanding,Outstanding
1-544067094,F84677,East End Medical Centre,London,Newham,E13 0QA,E54000029,NHS North East London Integrated Care Board,Registered,Good,2018-10-31,Good,Good,Good,Good,Good
1-544068048,C88072,Woodhouse Health Centre,Yorkshire & Humberside,Sheffield,S13 7LY,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Good,2016-10-10,Good,Good,Good,Good,Good
1-544071349,H81032,Heathcot Medical Practice,South East,Surrey,GU22 7XL,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,,,,,,,
1-544075014,E84062,The Shaftesbury Medical Centre,London,Harrow,HA2 0AH,E54000071,NHS West and North London Integrated Care Board,Registered,,,,,,,
1-544082154,J83019,"The Orchard Partnership, The Old Orchard Surgery",South West,Wiltshire,SP2 0JU,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Registered,Good,2017-05-19,Good,Good,Good,Good,Good
1-544084440,F83632,The Queens Crescent Surgery,London,Camden,NW5 4EB,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2017-03-02,Good,Good,Good,Good,Good
1-544084471,D82015,Bridge Street Surgery,East,Norfolk,PE38 9DH,E54000068,NHS Norfolk and Suffolk Integrated Care Board,Registered,Good,2017-02-27,Good,Good,Good,Good,Good
1-544101076,L81017,Westbury-on-Trym Primary Care Centre,South West,"Bristol, City of",BS9 3AA,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Registered,Good,2017-02-08,Good,Good,Good,Good,Good
1-544107181,A84027,Bellingham Practice,North East,Northumberland,NE48 2HE,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Outstanding,2019-01-22,Good,Good,Outstanding,Outstanding,Outstanding
1-544128956,P81057,Worden Medical Centre,North West,Lancashire,PR25 1HR,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,,,,,,,
1-544139066,C86019,The Scott Practice,Yorkshire & Humberside,Doncaster,DN4 0TG,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Outstanding,2018-06-27,Good,Good,Good,Outstanding,Outstanding
1-544144429,F84053,Greengate Medical Centre,London,Newham,E13 8PS,E54000029,NHS North East London Integrated Care Board,Registered,Good,2017-11-09,Good,Good,Good,Good,Good
1-544144537,L84007,Rowcroft Medical Centre,South West,Gloucestershire,GL5 3BE,E54000043,NHS Gloucestershire Integrated Care Board,Registered,Good,2016-06-24,Good,Good,Good,Good,Good
1-544152541,C83048,St Johns Medical Centre,East Midlands,Lincolnshire,NG31 6HR,E54000013,NHS Lincolnshire Integrated Care Board,Registered,Good,2017-06-08,Good,Good,Good,Good,Good
1-544154008,H81084,East Horsley Medical Centre,South East,Surrey,KT24 6QT,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2019-11-18,Good,Good,Good,Good,Good
1-544158982,,Beaconsfield Road Surgery,South East,East Sussex,TN34 3TW,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2019-08-06,Good,Good,Good,Good,Good
1-544163600,M88007,Oakeswell Health Centre,West Midlands,Sandwell,WS10 9HP,E54000062,NHS Black Country Integrated Care Board,Registered,,,,,,,
1-544166777,D82099,Southgates and The Woottons Surgeries,East,Norfolk,PE30 5QX,E54000068,NHS Norfolk and Suffolk Integrated Care Board,Registered,Good,2017-09-14,Good,Good,Good,Good,Good
1-544168690,L82620,Harris Memorial Surgery,South West,Cornwall,TR16 4RX,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Registered,,,,,,,
1-544169745,P88018,Park View Group Practice,North West,Stockport,SK5 6ET,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2016-10-07,Good,Good,Good,Good,Good
1-544175965,G82142,Dr Miles and Partners,South East,Kent,TN25 5AY,E54000032,NHS Kent and Medway Integrated Care Board,Registered,Outstanding,2017-01-16,Good,Good,Good,Outstanding,Outstanding
1-544180175,N81013,High Street Surgery,North West,Cheshire East,SK11 6JL,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,Good,2018-06-18,Good,Good,Good,Good,Good
1-544183166,A87013,Bewicke Medical Centre,North East,North Tyneside,NE28 0AD,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2016-02-18,Good,Good,Good,Good,Good
1-544190023,M83627,Apsley Surgery,West Midlands,Stoke-on-Trent,ST6 2JN,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Registered,Good,2023-01-10,Good,Good,Good,Good,Good
1-544192987,K84013,St. Bartholomew's Medical Centre,South East,Oxfordshire,OX4 1XB,E54000070,NHS Thames Valley Integrated Care Board,Registered,Good,2017-04-21,Good,Good,Good,Good,Good
1-544193714,D81066,The Queen Edith Medical Practice,East,Cambridgeshire,CB1 8PJ,E54000065,NHS Central East Integrated Care Board,Registered,Good,2016-12-22,Good,Good,Good,Good,Good
1-544203361,A83037,Bewick Crescent Surgery,North East,County Durham,DL5 5LH,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,,,,,,,
1-544205968,M87041,Rangeways Road Surgery,West Midlands,Dudley,DY6 8PN,E54000062,NHS Black Country Integrated Care Board,Registered,,,,,,,
1-544209391,M81070,Churchfields Surgery,West Midlands,Worcestershire,B61 0AZ,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Registered,,,,,,,
1-544210262,C82062,Barrow Health Centre,East Midlands,Leicestershire,LE12 8PY,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Registered,Good,2017-06-01,Good,Good,Good,Good,Good
1-544213010,H81010,Guildowns Group Practice,South East,Surrey,GU2 4YP,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2022-09-05,Good,Good,Good,Good,Good
